"index_match","call_type","bin_choice"
937,"other","other"
938,"contact - mix alarm","contact"
939,"contact - mix alarm","contact"
940,"other","other"
941,"other","other"
942,"other","other"
943,"other","other"
944,"other","other"
945,"other","other"
946,"other","other"
947,"other","other"
948,"other","other"
949,"contact - ladder middle","contact"
950,"other","other"
951,"contact - ladder start","contact"
952,"other","other"
953,"contact - typical","contact"
954,"other","other"
955,"other","other"
956,"other","other"
957,"other","other"
958,"other","other"
959,"contact - typical","contact"
960,"contact - typical","contact"
961,"other","other"
962,"other","other"
963,"contact - typical","contact"
964,"contact - typical","contact"
965,"contact - typical","contact"
966,"contact - mix alarm","contact"
967,"other","other"
968,"contact - ladder middle","contact"
969,"contact - ladder start","contact"
970,"other","other"
971,"other","other"
972,"other","other"
973,"other","other"
974,"other","other"
975,"contact - typical","contact"
976,"contact - mix alarm","contact"
977,"other","other"
978,"contact - mix alarm","contact"
979,"other","other"
980,"other","other"
981,"contact - typical","contact"
982,"contact - ladder multiple","contact"
983,"contact - ladder start","contact"
984,"other","other"
985,"other","other"
986,"other","other"
987,"other","other"
988,"contact - ladder middle","contact"
989,"other","other"
990,"other","other"
991,"other","other"
992,"contact - ladder multiple","contact"
993,"contact - typical","contact"
994,"contact - ladder multiple","contact"
995,"other","other"
996,"contact - mix alarm","contact"
997,"contact - typical","contact"
998,"contact - typical","contact"
999,"contact - mix alarm","contact"
1000,"other","other"
